Year,Case Vehicle ID,Vehicle Body Type,Registration Class,Action Prior to Accident,Type / Axles of Truck or Bus,Direction of Travel,Fuel Type,Vehicle Year,State of Registration,Number of Occupants,Engine Cylinders,Vehicle Make,Contributing Factor 1,Contributing Factor 1 Description,Contributing Factor 2,Contributing Factor 2 Description,Event Type,Partial VIN
2016,13364180,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2015,NY,2,4,NISSA,HUMAN,Fell Asleep,HUMAN,Unknown,Not Applicable,KNMAT2MV1FP544486
2016,13364181,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Merging,Not Entered,South,Gas,2007,NY,1,4,HYUND,HUMAN,Alcohol Involvement,HUMAN,Not Applicable,Not Entered,5NPET46C87H227617
2016,13364182,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2009,NY,1,4,HONDA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Entered,1HGCP26379A133398
2016,13364283,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2007,NY,1,4,DODGE,ENVMT,Pavement Slippery,HUMAN,Not Applicable,Not Applicable,1B3HB28B37D582730
2016,13364291,SUBURBAN,PASSENGER OR SUBURBAN,Changing Lanes,Not Entered,West,Gas,2012,NY,1,4,MINI,HUMAN,Unsafe Lane Changing,HUMAN,Not Applicable,Not Applicable,WMWZC3C57CWL81108
2016,13364292,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2013,NY,3,5,VOLKS,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,3VWDP7AJ0DM381569
2016,13364304,PICKUP TRUCK,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2014,NY,2,6,CHEVR,ENVMT,Pavement Slippery,HUMAN,Not Applicable,Not Applicable,3GCUKREH8EG196335
2016,13364305,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2007,NY,1,4,HONDA,ENVMT,Pavement Slippery,HUMAN,Not Applicable,Not Applicable,1HGCM56387A220086
2016,13364306,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2004,NY,1,6,BUICK,ENVMT,Pavement Slippery,HUMAN,Not Applicable,"Snow Embankment, Collision With Fixed Object",3G5DA03E04S597761
2016,13364307,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2011,NY,4,4,CHEVR,ENVMT,Pavement Slippery,ENVMT,Obstruction/ Debris,Unknown,2CNFLCEC1B6362978
2016,13364313,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Parked,Not Entered,North,Gas,2014,NY,0,4,BMW,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,WBA3B5C51EP543896
2016,13364318,PICKUP TRUCK,PASSENGER OR SUBURBAN,Slowing or Stopping,Not Entered,North,Gas,2008,NY,1,8,TOYOT,HUMAN,Unsafe Speed,HUMAN,Traffic Control Device Disregarded,Not Applicable,5TBBT54138S459332
2016,13364319,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Slowing or Stopping,Not Entered,West,Gas,2006,NY,1,6,HYUND,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,5NPEU46F76H086898
2016,13364336,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,1995,NY,2,6,CHEVR,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,1GNDT13W0S2163647
2016,13364337,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2004,NY,1,6,PONTI,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,2G2WP522741119566
2016,13364347,SUBURBAN,PASSENGER OR SUBURBAN,Backing,Not Entered,South,Gas,2008,NY,1,6,DODGE,HUMAN,Backing Unsafely,HUMAN,Not Applicable,Not Applicable,2D8HN54P88R135786
2016,13364348,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Parked,Not Entered,East,Gas,2014,NY,0,4,HYUND,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,KMHDH4AE3EU051354
2016,13364350,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Stopped in Traffic,Not Entered,West,Gas,2015,NY,2,6,AUDI,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,WAUHGAFCXFN010694
2016,13364360,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2008,NY,1,6,HONDA,HUMAN,Passing or Lane Usage Improper,HUMAN,Not Applicable,Not Applicable,5FNYF18578B008620
2016,13364361,4 DOOR SEDAN,SPORTS,Going Straight Ahead,Not Entered,South,Gas,2014,NY,1,4,AUDI,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,WAUFFAFL6EN006344
2016,13364368,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2013,NY,1,4,NISSA,HUMAN,Driver Inattention/Distraction*,HUMAN,Not Applicable,Not Applicable,1N4AL3AP0DC252818
2016,13364369,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Slowing or Stopping,Not Entered,South,Gas,2014,NY,2,4,NISSA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1N4AL3AP0EC429594
2016,13364374,SUBURBAN,PASSENGER OR SUBURBAN,Making Right Turn,Not Entered,Southwest,Gas,2004,NY,3,8,LINCO,HUMAN,Failure to Yield Right-of-Way,HUMAN,Not Applicable,Not Applicable,5LMEU88H44ZJ03774
2016,13364482,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2011,NY,2,6,LEXUS,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,JTHBK1EG9B2465185
2016,13364507,SUBURBAN,COMMERCIAL,Backing,Not Entered,West,Gas,2011,NY,1,8,GMC,HUMAN,Backing Unsafely,ENVMT,Obstruction/ Debris,Not Applicable,1GKS2MEF5BR385632
2016,13364508,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2008,NY,1,4,HONDA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1HGCP26848A114320
