pclass,survived,sex,age,adult,fare,embarked,
1.00,1.00,1.00,38.00,1.00,80.00,C,
1.00,1.00,1.00,62.00,1.00,80.00,C,
3.00,1.00,1.00,0.75,0.00,19.26,C,
3.00,1.00,1.00,0.75,0.00,19.26,C,
3.00,1.00,0.00,1.00,0.00,8.52,C,
2.00,1.00,0.00,1.00,0.00,37.00,C,
2.00,1.00,1.00,1.00,0.00,41.58,C,
3.00,1.00,1.00,1.00,0.00,15.74,C,
2.00,1.00,1.00,3.00,0.00,41.58,C,
3.00,1.00,1.00,4.00,0.00,13.42,C,
3.00,1.00,1.00,5.00,0.00,19.26,C,
1.00,1.00,0.00,6.00,0.00,134.50,C,
3.00,0.00,0.00,6.00,0.00,15.25,C,
3.00,1.00,0.00,7.00,0.00,15.25,C,
3.00,0.00,1.00,9.00,0.00,15.25,C,
3.00,1.00,1.00,9.00,0.00,15.25,C,
3.00,0.00,0.00,11.00,0.00,18.79,C,
3.00,1.00,0.00,12.00,0.00,11.24,C,
1.00,1.00,0.00,13.00,0.00,262.38,C,
3.00,1.00,1.00,13.00,0.00,7.23,C,
2.00,1.00,1.00,14.00,0.00,30.07,C,
3.00,1.00,1.00,14.00,0.00,11.24,C,
3.00,0.00,1.00,14.50,0.00,14.45,C,
3.00,0.00,0.00,15.00,0.00,7.23,C,
3.00,1.00,1.00,15.00,0.00,7.23,C,
3.00,1.00,1.00,15.00,0.00,14.45,C,
1.00,1.00,1.00,16.00,0.00,57.98,C,
3.00,1.00,1.00,16.00,0.00,8.52,C,
1.00,1.00,0.00,17.00,0.00,110.88,C,
3.00,0.00,0.00,17.00,0.00,7.23,C,
1.00,1.00,1.00,17.00,0.00,108.90,C,
2.00,1.00,1.00,17.00,0.00,12.00,C,
3.00,0.00,1.00,17.00,0.00,14.46,C,
1.00,0.00,0.00,18.00,0.00,108.90,C,
3.00,0.00,0.00,18.00,0.00,14.45,C,
1.00,1.00,1.00,18.00,0.00,227.53,C,
1.00,1.00,1.00,18.00,0.00,262.38,C,
3.00,1.00,1.00,18.00,0.00,7.23,C,
3.00,0.00,1.00,18.00,0.00,14.45,C,
3.00,0.00,0.00,18.50,1.00,7.23,C,
1.00,1.00,1.00,19.00,1.00,91.08,C,
3.00,1.00,1.00,19.00,1.00,15.74,C,
2.00,1.00,0.00,20.00,1.00,13.86,C,
3.00,0.00,0.00,20.00,1.00,7.23,C,
3.00,0.00,0.00,20.00,1.00,4.01,C,
3.00,1.00,0.00,20.00,1.00,15.74,C,
3.00,1.00,0.00,20.00,1.00,7.23,C,
1.00,1.00,0.00,21.00,1.00,61.38,C,
3.00,0.00,0.00,21.00,1.00,7.23,C,
1.00,1.00,1.00,21.00,1.00,262.38,C,
1.00,0.00,0.00,22.00,1.00,135.63,C,
3.00,0.00,0.00,22.00,1.00,7.23,C,
3.00,1.00,0.00,22.00,1.00,7.23,C,
3.00,1.00,0.00,22.00,1.00,7.23,C,
1.00,1.00,1.00,22.00,1.00,49.50,C,
1.00,1.00,1.00,22.00,1.00,61.98,C,
1.00,1.00,1.00,22.00,1.00,59.40,C,
2.00,1.00,1.00,22.00,1.00,41.58,C,
3.00,0.00,0.00,22.50,1.00,7.23,C,
1.00,1.00,0.00,23.00,1.00,63.36,C,
2.00,0.00,0.00,23.00,1.00,15.05,C,
1.00,1.00,1.00,23.00,1.00,113.28,C,
1.00,1.00,1.00,23.00,1.00,83.16,C,
2.00,1.00,1.00,23.00,1.00,13.79,C,
3.00,0.00,0.00,23.50,1.00,7.23,C,
1.00,0.00,0.00,24.00,1.00,247.52,C,
1.00,0.00,0.00,24.00,1.00,79.20,C,
1.00,1.00,1.00,24.00,1.00,49.50,C,
1.00,1.00,1.00,24.00,1.00,83.16,C,
1.00,1.00,1.00,24.00,1.00,69.30,C,
1.00,1.00,1.00,24.00,1.00,69.30,C,
2.00,1.00,1.00,24.00,1.00,37.00,C,
2.00,1.00,1.00,24.00,1.00,27.72,C,
3.00,1.00,1.00,24.00,1.00,19.26,C,
1.00,0.00,0.00,25.00,1.00,26.00,C,
1.00,1.00,0.00,25.00,1.00,55.44,C,
1.00,1.00,0.00,25.00,1.00,91.08,C,
2.00,0.00,0.00,25.00,1.00,41.58,C,
3.00,0.00,0.00,25.00,1.00,7.23,C,
3.00,1.00,0.00,25.00,1.00,7.23,C,
1.00,1.00,1.00,25.00,1.00,55.44,C,
1.00,1.00,0.00,26.00,1.00,30.00,C,
3.00,0.00,0.00,26.00,1.00,14.45,C,
3.00,1.00,0.00,26.00,1.00,18.79,C,
1.00,1.00,1.00,26.00,1.00,136.78,C,
3.00,0.00,0.00,26.50,1.00,7.23,C,
1.00,0.00,0.00,27.00,1.00,136.78,C,
1.00,0.00,0.00,27.00,1.00,211.50,C,
1.00,1.00,0.00,27.00,1.00,76.73,C,
2.00,0.00,0.00,27.00,1.00,15.03,C,
